"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.mariadb.jdbc.message.client.ExecutePacket.encode ()","6,004 ms (0.2%)","6,004 ms (0.2%)","473,826 ms (0.1%)","473,826 ms (0.1%)","191"
"com.example.sns_project.service.PostService.getPopularPosts ()","6,004 ms (0.2%)","6,004 ms (0.2%)","563,677 ms (0.1%)","112,998 ms (0%)","214"
"org.mariadb.jdbc.client.socket.impl.PacketReader.readReusablePacket ()","6,004 ms (0.2%)","6,004 ms (0.2%)","1,761,188 ms (0.3%)","267,899 ms (0.1%)","822"
"ch.qos.logback.classic.LoggerContext.getTurboFilterChainDecision_0_3OrMore ()","6,004 ms (0.2%)","6,004 ms (0.2%)","143,087 ms (0%)","143,087 ms (0%)","51"
"org.hibernate.event.internal.AbstractFlushingEventListener.prepareCollectionFlushes ()","6,004 ms (0.2%)","6,004 ms (0.2%)","60,842 ms (0%)","60,842 ms (0%)","19"
"org.hibernate.type.BasicType.getExpressibleJavaType ()","6,004 ms (0.2%)","6,004 ms (0.2%)","6,004 ms (0%)","6,004 ms (0%)","1"
"com.fasterxml.jackson.databind.JavaType.getReferencedType ()","6,004 ms (0.2%)","6,004 ms (0.2%)","6,004 ms (0%)","6,004 ms (0%)","1"
"org.hibernate.sql.exec.spi.JdbcOperationQuerySelect.usesLimitParameters ()","6,002 ms (0.2%)","6,002 ms (0.2%)","6,002 ms (0%)","6,002 ms (0%)","2"
"org.mariadb.jdbc.client.column.SignedBigIntColumn.decodeLongBinary ()","5,981 ms (0.2%)","5,981 ms (0.2%)","5,981 ms (0%)","5,981 ms (0%)","3"
"io.netty.util.HashedWheelTimer$Worker.run ()","5,898 ms (0.2%)","5,898 ms (0.2%)","289,860 ms (0%)","6,806 ms (0%)","1"
"com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer ()","5,794 ms (0.2%)","5,794 ms (0.2%)","11,500 ms (0%)","11,500 ms (0%)","3"
"org.apache.coyote.Response.getNote ()","5,794 ms (0.2%)","5,794 ms (0.2%)","5,794 ms (0%)","5,794 ms (0%)","1"
"io.lettuce.core.RedisCommandBuilder.notNullKey ()","5,794 ms (0.2%)","5,794 ms (0.2%)","5,794 ms (0%)","5,794 ms (0%)","1"
"org.hibernate.internal.JdbcSessionContextImpl.getFetchSizeOrNull ()","5,794 ms (0.2%)","5,794 ms (0.2%)","5,794 ms (0%)","5,794 ms (0%)","1"
"org.hibernate.persister.entity.AbstractEntityPersister.setPropertyValues ()","5,794 ms (0.2%)","5,794 ms (0.2%)","41,365 ms (0%)","41,365 ms (0%)","22"
"org.apache.tomcat.util.net.NioEndpoint$Poller.events ()","5,715 ms (0.2%)","5,715 ms (0.2%)","9,730 ms (0%)","9,730 ms (0%)","8"
