"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"com.fasterxml.jackson.databind.introspect.AnnotatedClassResolver.<init> ()","1,210 ms (0.2%)","1,210 ms (0.2%)","1,210 ms (0%)","1,210 ms (0%)","2"
"org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorImpl.afterBeginCallback ()","1,210 ms (0.2%)","1,210 ms (0.2%)","2,421 ms (0%)","2,421 ms (0%)","2"
"com.fasterxml.jackson.core.io.NumberOutput.outputInt ()","1,205 ms (0.2%)","1,205 ms (0.2%)","1,205 ms (0%)","1,205 ms (0%)","1"
"org.hibernate.engine.internal.Collections.prepareCollectionForUpdate ()","1,202 ms (0.2%)","1,202 ms (0.2%)","1,202 ms (0%)","1,202 ms (0%)","1"
"org.apache.tomcat.util.buf.MessageBytes.equals ()","1,202 ms (0.2%)","1,202 ms (0.2%)","1,202 ms (0%)","1,202 ms (0%)","1"
"org.apache.catalina.core.StandardPipeline.isAsyncSupported ()","1,200 ms (0.2%)","1,200 ms (0.2%)","1,200 ms (0%)","1,200 ms (0%)","1"
"org.apache.catalina.connector.Response.setContentType ()","1,200 ms (0.2%)","1,200 ms (0.2%)","1,200 ms (0%)","1,200 ms (0%)","1"
"org.apache.tomcat.util.http.parser.HttpParser.skipLws ()","1,195 ms (0.2%)","1,195 ms (0.2%)","1,195 ms (0%)","1,195 ms (0%)","1"
"io.netty.channel.AbstractChannelHandlerContext.invokeFlush0 ()","1,191 ms (0.2%)","1,191 ms (0.2%)","6,294 ms (0%)","6,294 ms (0%)","11"
"org.hibernate.generator.values.internal.GeneratedValuesHelper.getGeneratedValues ()","1,190 ms (0.2%)","1,190 ms (0.2%)","3,304 ms (0%)","3,304 ms (0%)","3"
"org.hibernate.sql.results.internal.InitializersList.resolveKeys ()","1,181 ms (0.2%)","1,181 ms (0.2%)","68,435 ms (0%)","68,435 ms (0.1%)","95"
"org.hibernate.event.internal.ProxyVisitor.processEntity ()","1,179 ms (0.2%)","1,179 ms (0.2%)","2,248 ms (0%)","2,248 ms (0%)","3"
"org.hibernate.engine.spi.ActionQueue.clear ()","1,171 ms (0.2%)","1,171 ms (0.2%)","1,171 ms (0%)","1,171 ms (0%)","1"
"io.micrometer.observation.Observation.createNotStarted ()","1,146 ms (0.2%)","1,146 ms (0.2%)","2,249 ms (0%)","2,249 ms (0%)","2"
"com.fasterxml.jackson.databind.introspect.BasicBeanDescription.findDeserializationConverter ()","1,131 ms (0.2%)","1,131 ms (0.2%)","1,131 ms (0%)","1,131 ms (0%)","1"
"com.fasterxml.jackson.core.io.IOContext.allocTokenBuffer ()","1,131 ms (0.2%)","1,131 ms (0.2%)","1,131 ms (0%)","1,131 ms (0%)","1"
"org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.initializeEntityInstance ()","1,120 ms (0.2%)","1,120 ms (0.2%)","198,940 ms (0%)","198,940 ms (0.2%)","250"
"org.mariadb.jdbc.client.impl.StandardClient.readResults ()","1,114 ms (0.2%)","1,114 ms (0.2%)","393,821 ms (0%)","75,583 ms (0.1%)","501"
"org.apache.tomcat.util.net.NioEndpoint$Poller.run ()","1,107 ms (0.2%)","1,107 ms (0.2%)","298,137 ms (0%)","7,994 ms (0%)","1"
"com.fasterxml.jackson.core.base.ParserBase.close ()","1,107 ms (0.2%)","1,107 ms (0.2%)","1,107 ms (0%)","1,107 ms (0%)","1"
"org.hibernate.query.spi.AbstractCommonQueryContract.setParameter ()","1,106 ms (0.2%)","1,106 ms (0.2%)","1,106 ms (0%)","1,106 ms (0%)","1"
"org.apache.catalina.authenticator.AuthenticatorBase.invoke ()","1,103 ms (0.2%)","1,103 ms (0.2%)","46,575,387 ms (2.8%)","2,682,446 ms (3.1%)","9,682"
"io.micrometer.observation.ObservationHandler$FirstMatchingCompositeObservationHandler.supportsContext ()","1,103 ms (0.2%)","1,103 ms (0.2%)","1,103 ms (0%)","1,103 ms (0%)","1"
"io.jsonwebtoken.impl.JwtMap.setDate ()","1,103 ms (0.2%)","1,103 ms (0.2%)","1,103 ms (0%)","1,103 ms (0%)","1"
"org.hibernate.metamodel.mapping.AssociationKey.hashCode ()","1,098 ms (0.2%)","1,098 ms (0.2%)","1,098 ms (0%)","1,098 ms (0%)","1"
"org.apache.tomcat.util.net.SocketBufferHandler.setWriteBufferConfiguredForWrite ()","1,098 ms (0.2%)","1,098 ms (0.2%)","1,098 ms (0%)","1,098 ms (0%)","1"
"org.hibernate.sql.results.graph.collection.internal.AbstractCollectionInitializer.resolveCollectionKey ()","1,091 ms (0.2%)","1,091 ms (0.2%)","17,945 ms (0%)","17,945 ms (0%)","25"
"org.hibernate.sql.results.jdbc.internal.JdbcValuesSourceProcessingStateStandardImpl.finishUp ()","1,090 ms (0.2%)","1,090 ms (0.2%)","105,146 ms (0%)","105,146 ms (0.1%)","156"
"org.hibernate.internal.util.collections.IdentityMap.get ()","1,088 ms (0.2%)","1,088 ms (0.2%)","18,280 ms (0%)","18,280 ms (0%)","28"
"org.hibernate.sql.results.graph.entity.internal.EntityAssembler.assemble ()","1,085 ms (0.2%)","1,085 ms (0.2%)","1,085 ms (0%)","1,085 ms (0%)","1"
"org.hibernate.sql.results.graph.Initializer.isPartOfKey ()","1,085 ms (0.2%)","1,085 ms (0.2%)","1,085 ms (0%)","1,085 ms (0%)","1"
"io.micrometer.common.KeyValue.compareTo ()","1,085 ms (0.2%)","1,085 ms (0.2%)","1,085 ms (0%)","1,085 ms (0%)","2"
"com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap.drainOnReadIfNeeded ()","1,085 ms (0.2%)","1,085 ms (0.2%)","1,085 ms (0%)","1,085 ms (0%)","1"
"com.fasterxml.jackson.core.json.JsonWriteContext.createChildObjectContext ()","1,081 ms (0.2%)","1,081 ms (0.2%)","1,081 ms (0%)","1,081 ms (0%)","1"
"org.hibernate.engine.internal.StatefulPersistenceContext.reassociateIfUninitializedProxy ()","1,069 ms (0.2%)","1,069 ms (0.2%)","1,069 ms (0%)","1,069 ms (0%)","1"
"org.hibernate.event.internal.AbstractFlushingEventListener.lambda$postFlush$1 ()","1,062 ms (0.2%)","1,062 ms (0.2%)","35,755 ms (0%)","35,755 ms (0%)","44"
"com.fasterxml.jackson.databind.type.TypeBindings.create ()","1,059 ms (0.2%)","1,059 ms (0.2%)","1,059 ms (0%)","1,059 ms (0%)","2"
"org.hibernate.engine.spi.BatchFetchQueue.addBatchLoadableCollection ()","1,057 ms (0.2%)","1,057 ms (0.2%)","35,314 ms (0%)","35,314 ms (0%)","42"
"org.hibernate.query.sqm.tree.select.SqmOrderByClause.copy ()","1,040 ms (0.2%)","1,040 ms (0.2%)","1,040 ms (0%)","1,040 ms (0%)","1"
"org.hibernate.collection.spi.AbstractPersistentCollection$IteratorProxy.next ()","1,030 ms (0.2%)","1,030 ms (0.2%)","1,030 ms (0%)","1,030 ms (0%)","1"
"io.lettuce.core.protocol.CommandHandler.addToStack ()","1,026 ms (0.2%)","1,026 ms (0.2%)","1,438 ms (0%)","1,438 ms (0%)","2"
"org.hibernate.sql.results.internal.ResultsHelper$1.resolveInitializer ()","1,019 ms (0.2%)","1,019 ms (0.2%)","9,799 ms (0%)","9,799 ms (0%)","37"
"com.fasterxml.jackson.datatype.jdk8.Jdk8TypeModifier.modifyType ()","1,019 ms (0.2%)","1,019 ms (0.2%)","2,962 ms (0%)","2,962 ms (0%)","3"
"org.hibernate.query.sqm.tree.select.SqmSelectableNode.getTupleLength ()","1,016 ms (0.2%)","1,016 ms (0.2%)","1,016 ms (0%)","1,016 ms (0%)","1"
"org.hibernate.internal.AbstractSharedSessionContract.close ()","1,016 ms (0.2%)","1,016 ms (0.2%)","20,424 ms (0%)","20,424 ms (0%)","28"
"org.apache.catalina.connector.OutputBuffer.isBlocking ()","1,016 ms (0.2%)","1,016 ms (0.2%)","1,016 ms (0%)","1,016 ms (0%)","1"
"org.mariadb.jdbc.client.column.BlobColumn.<init> ()","1,014 ms (0.2%)","1,014 ms (0.2%)","1,014 ms (0%)","1,014 ms (0%)","1"
"org.hibernate.persister.entity.mutation.InsertCoordinatorStandard.lambda$decomposeAttribute$2 ()","1,013 ms (0.2%)","1,013 ms (0.2%)","1,013 ms (0%)","1,013 ms (0%)","1"
"com.fasterxml.jackson.databind.ObjectMapper.constructType ()","1,012 ms (0.2%)","1,012 ms (0.2%)","6,047 ms (0%)","6,047 ms (0%)","6"
"io.netty.util.internal.ObjectPool$RecyclerObjectPool.get ()","1,010 ms (0.2%)","1,010 ms (0.2%)","1,091 ms (0%)","1,091 ms (0%)","2"
